Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-04-29,1772.7818820509042,461.8127655982971,,,,,0.5564421034773929,1.1829509735107422,0.28660956025123596,1882,,,,26,,53689096,365068,669985,,,,,
2019-04-30,2001.0966525583783,4948.030200242996,,,,,0.9715168726887239,1.655930519104004,0.28701871633529663,8210,,,,92,,75364402,5421344,,,,,,
2019-05-01,1739.417069408739,72.7665045261383,,,,,0.4310418201094572,0.5183502435684204,0.32754719257354736,148,,,,16,910066,81758537,391214,,,,,,
2019-05-02,1897.049478990614,3093.342586874962,,,,,0.8955262548463555,1.1836776733398438,0.2891870141029358,4913,,,,60,,67125126,3807844,,,,,,
2019-05-03,1703.694732467984,861.1478176116943,,,,,1.2902920218029537,2.789118766784668,0.9768208861351013,1291,,,,13,,68498934,809415,,,,,,
2019-05-04,1827.8307073984042,2938.3674911260605,,,,,0.796008414842072,1.399307131767273,0.3237506151199341,5231,,,,62,,80645274,2734440,,,,,,
2019-05-05,1706.6001506182145,278.7409760874775,-34.112215,18.8481415,-34.1121291,18.8481822,0.8128328391198503,1.0645798444747925,0.2590004801750183,3246,,,,26,,52501666,854470,,,,7140000,660000,
2019-05-06,1909.3001769878451,2807.2716478484604,-34.1126388,18.6841026,-33.8635355,18.8708309,0.9503588619221526,28.4436092376709,0.0024291498120874166,6119,,,,77,,45941092,3997820,,,,15960000,5400000,180000
2019-05-07,1770.542320152925,1015.6248895525932,,,,,2.4371597328130763,31.239547729492188,0.01778280921280384,2268,,,,26,,74133483,1781065,,,,,,
2019-05-08,1676.7484968026574,261.8045073747635,,,,,0.5634468698657348,1.46139657497406,0.3339141309261322,864,,,,9,,80026360,391549,,,,,,
2019-05-09,1807.291039128375,1232.4376816749573,-33.8635992,18.6842059,-33.8635005,18.6842406,0.6643887231128357,1.4923583269119263,0.2605636715888977,2788,,,,38,,57602938,2415923,,,,12060000,4380000,4380000
2019-05-10,2069.4863147391516,1729.7768835425377,-33.9777118,18.4650533,-33.8635372,18.6842185,1.075664331231394,33.522151947021484,0.0,3335,,,,35,,46956609,2816963,1620000,,,22680000,5940000,
2019-05-11,2387.539263397455,5645.581345796585,-33.863880090360794,18.671573,-33.8257865,18.7956047,1.7014535202544752,32.29200744628906,0.0,5350,,,,94,,48593959,9132576,900000,,,14280000,6120000,
